City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kologriv,24,RU,1525129512,82,58.83,44.31,30.25,2.48
1,tiksi,48,RU,1525129460,90,71.64,128.87,33.76,21.61
2,rikitea,8,PF,1525129437,100,-23.12,-134.97,78.04,4.16
3,matagami,20,NG,1525129495,100,9.67,8.4,69.49,3.15
4,berlevag,64,NO,1525129512,100,70.86,29.09,28.18,7.18
5,qaanaaq,0,GL,1525129455,85,77.48,-69.36,1.99,6.4
6,puerto ayora,20,EC,1525125600,66,-0.74,-90.35,84.2,14.99
7,atuona,0,PF,1525129443,99,-9.8,-139.03,81.64,16.69
8,dikson,68,RU,1525129450,91,73.51,80.55,7.39,6.06
9,mayumba,88,GA,1525129512,100,-3.44,10.65,79.84,3.49
10,hamilton,75,BM,1525125300,78,32.3,-64.78,71.6,8.05
11,punta arenas,75,CL,1525125600,70,-53.16,-70.91,42.8,11.41
12,mataura,76,NZ,1525129438,92,-46.19,168.86,53.56,11.65
13,upernavik,0,GL,1525129444,99,72.79,-56.15,11.89,9.19
14,midleton,20,IE,1525127400,86,51.91,-8.17,41.0,8.05
15,grindavik,75,IS,1525127400,69,63.84,-22.43,37.4,12.75
16,sargatskoye,56,RU,1525129513,71,55.6,73.49,35.74,12.66
17,cidreira,68,BR,1525129480,98,-30.17,-50.22,70.3,6.06
18,thompson,75,CA,1525125600,31,55.74,-97.86,48.2,8.05
19,vanimo,32,PG,1525129492,100,-2.67,141.3,81.82,2.04
20,bredasdorp,36,ZA,1525129457,100,-34.53,20.04,57.07,8.97
21,ushuaia,20,AR,1525125600,95,-54.81,-68.31,41.0,6.93
22,port shepstone,24,ZA,1525129474,93,-30.74,30.45,67.06,8.08
23,vila velha,20,BR,1525125600,88,-3.71,-38.6,80.6,8.05
24,andrews,1,US,1525128780,35,32.32,-102.55,84.2,16.11
25,porto novo,0,BR,1525125600,64,-23.68,-45.44,69.8,4.7
26,kulhudhuffushi,32,MV,1525129514,100,6.62,73.07,82.45,4.16
27,laguna,5,MX,1525124400,27,27.52,-110.01,87.8,14.99
28,loiza,40,PR,1525125360,58,18.43,-65.88,82.4,16.11
29,lebu,92,ET,1525129441,98,8.96,38.73,52.39,2.71
30,whyalla,24,AU,1525125600,76,-33.04,137.58,48.2,6.93
31,provideniya,0,RU,1525127400,100,64.42,-173.23,32.0,11.18
32,kontagora,0,NG,1525129514,82,10.4,5.47,78.22,2.71
33,carnarvon,0,ZA,1525129448,70,-30.97,22.13,38.26,2.93
34,saint george,40,GR,1525125000,82,39.45,22.34,62.6,4.7
35,jamestown,20,AU,1525129441,55,-33.21,138.6,59.32,8.52
36,ancud,92,CL,1525129447,97,-41.87,-73.83,47.08,2.59
37,wangqing,92,CN,1525129515,60,43.31,129.76,50.32,3.04
38,santa maria,75,BR,1525125600,88,-29.69,-53.81,69.8,4.7
39,komagane,0,JP,1525129516,49,35.73,137.94,60.13,2.37
40,dongsheng,92,CN,1525129516,100,29.72,112.52,70.57,6.96
41,banka,92,IN,1525129516,97,24.88,86.92,69.22,7.74
42,chokurdakh,0,RU,1525129471,100,70.62,147.9,16.12,6.17
43,iqaluit,40,CA,1525125600,66,63.75,-68.52,12.2,11.41
44,lompoc,90,US,1525127700,55,34.64,-120.46,64.4,21.92
45,batagay-alyta,0,RU,1525129517,79,67.8,130.41,24.76,4.05
46,albany,90,US,1525128840,81,42.65,-73.75,50.0,4.7
47,bethel,90,US,1525125180,80,60.79,-161.76,39.2,25.28
48,churapcha,0,RU,1525129517,58,62.0,132.43,35.92,4.16
49,hofn,80,IS,1525129455,100,64.25,-15.21,39.61,8.63
50,hobart,0,AU,1525127400,62,-42.88,147.33,57.2,11.41
51,busselton,24,AU,1525129449,100,-33.64,115.35,61.57,16.69
